ResponseId,demo_part2_religion,demo_part2_free,demo_religserv-PEW,demo_religimp-PEW,demo_part3_pray-PEW,religion_cat,religion_denom
R_31M1Tfnq26SqoYk,Catholic,NA,Once a week,Somewhat important,A few times a month,Catholic,Christian
R_sATT0kKFqthl1UB,Protestant,NA,Once a week,Very important,Several times a day,Protestant,Christian
R_2dWGuUkNIGG7uEF,"Agnostic,Atheist",NA,Never,Not at all important,Never,More than one non-religious identity,Non-religious
R_2tzNoREk2Qt1Xtm,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_3hyastO9T3P7Gcu,Protestant,NA,A few times a year,Somewhat important,A few times a week,Protestant,Christian
R_28J8h5wTBV5rU6y,"Spiritual but not religious,Agnostic,Nothing in particular",My definition of being spiritual means that I’m more focused on my mind and body than other worldly spirits,Never,Not at all important,Never,"Evangelical or ""born again""",Christian
R_1hTiiX6WE46QuD1,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_2rC36hIxlqQKkTE,Agnostic,NA,Seldom,Not at all important,Never,Agnostic,Non-religious
R_3QWvJTp6Q65T5DU,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_3ef6u0ZBxn4KAI9,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_3Jg5qdYKs9PrLtw,"Christian, no specific denomination",NA,Seldom,Very important,A few times a week,"Christian, no specific denomination",Christian
R_2ATPjjguYDyWO77,Protestant,Belief in Jesus Christ is required to get to heaven,Once a week,Very important,A few times a week,Protestant,Christian
R_1pRs2ZM8dNWq6pt,Agnostic,NA,Never,Not at all important,Seldom,Agnostic,Non-religious
R_3PvHbuHddtJF5jv,"Protestant,Evangelical or ""born again""",NA,Once or twice a month,Very important,A few times a week,"Evangelical or ""born again""",Christian
R_3FVtbipNTXE7zte,"Spiritual but not religious,Agnostic",NA,Seldom,Not too important,A few times a week,"Evangelical or ""born again""",Christian
R_2zCpXPrarpfFWFK,Agnostic,NA,Seldom,Not at all important,Never,Agnostic,Non-religious
R_3MGpYl9MJFwPiXO,Protestant,"Have not attended church in years and often question. but still lean towards being religious, just not too much practicing.",Seldom,Not too important,Once a day,Protestant,Christian
R_eXt0NAtax2HKatj,Nothing in particular,"I was raised Catholic, but i don't identify with any religion.",Never,Not at all important,Never,Nothing in particular,Non-religious
R_1H7rNGP6zF1CDQk,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_3IcztUW9sLUjVtI,"Protestant,Evangelical or ""born again"",Christian, no specific denomination",NA,Once a week,Very important,Once a day,"Evangelical or ""born again""",Christian
R_sOou5BafelJbwtz,"Spiritual but not religious,Agnostic","I think out of all of the forms of an ""afterlife"", reincarnation is the most likely to be true because it is a proven fact that our energy moves on when we die.",Never,Not too important,Never,"Evangelical or ""born again""",Christian
R_3GkYP7ZennUWy7v,"Christian, no specific denomination",NA,A few times a year,Somewhat important,Seldom,"Christian, no specific denomination",Christian
R_2uQc3m0OszNnbGB,"Agnostic,Atheist",NA,Never,Not at all important,Never,More than one non-religious identity,Non-religious
R_2R7y588siVaPd4r,Protestant,NA,Seldom,Somewhat important,Once a day,Protestant,Christian
R_1K6JwwbnNMVmHRp,Catholic,I think for the story questions even if they are thinking positive thoughts it can be prayer whether or not they think it is.  God still hears them.,Seldom,Very important,Several times a day,Catholic,Christian
R_3EWOFqpCuCmBPtL,Jewish,NA,Never,Not at all important,Never,Jewish,Other World Religion
R_PLGIJPUcoQjxevv,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_32MbT7xoLwj2LOo,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_scjrYBxTyBcAyZP,Atheist,ex-Christian and exploratory Buddhist,Never,Not at all important,Never,Atheist,Non-religious
R_3saj4qvUfhlUiuB,Atheist,NA,Never,Not at all important,Never,Atheist,Non-religious
R_3hublAN0wtX4sJL,Catholic,NA,A few times a year,Somewhat important,A few times a month,Catholic,Christian
R_1QlynUz2Xr8i6ub,Spiritual but not religious,It's spiritual and eclectic.,Never,Not at all important,Several times a day,Spiritual but not religious,New Age / Spiritual
R_1kYB7Na24VH9J5X,Catholic,NA,Seldom,Not too important,Never,Catholic,Christian
R_2WYmAPYqAeYQtsY,Atheist,used to be Catholic,Never,Not at all important,Never,Atheist,Non-religious
R_3Jr2LevpeEvCzxi,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_3qgmdiBA6XP74kz,Protestant,NA,Seldom,Somewhat important,Once a week,Protestant,Christian
R_1DOb77218FZvN9X,Nothing in particular,NA,Never,Not at all important,Never,Nothing in particular,Non-religious
R_265OotYg1PgB4Zg,Atheist,No,Never,Not at all important,Never,Atheist,Non-religious
R_3HGh0HNS15tqTk8,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_3oFR884gmzo7sDP,Agnostic,NA,Never,Not at all important,Never,Agnostic,Non-religious
R_1KrLedHTYR3EaVP,Protestant,None,Seldom,Not too important,Seldom,Protestant,Christian
