subject_id,country,site,religion,servicesperweek,prayfreqmin,prayfreqmin_cat,question,response,christian,prayfreqmin_bin,category
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,people,1,1,>15 minutes,NA
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,scripture,1,1,>15 minutes,NA
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,thought_mind,1,1,>15 minutes,relabeled
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,voice_ears,1,1,>15 minutes,outer_sensory
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,vision_mind,1,1,>15 minutes,relabeled
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,vision_eyes,1,1,>15 minutes,outer_sensory
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,dreams,0,1,>15 minutes,relabeled
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,knowing,1,1,>15 minutes,relabeled
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,sensation,1,1,>15 minutes,relabeled
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,body_experience,1,1,>15 minutes,relabeled
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,place_body,1,1,>15 minutes,NA
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,touch,0,1,>15 minutes,outer_sensory
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,smell,0,1,>15 minutes,outer_sensory
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,presence_god,1,1,>15 minutes,presence
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,presence_ghostangelspirit,1,1,>15 minutes,presence
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,presence_demon,1,1,>15 minutes,presence
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,possession_self,0,1,>15 minutes,weird
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,see_hear_other,1,1,>15 minutes,outer_sensory
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,white_light,NA,1,>15 minutes,NA
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,slain_in_spirit,1,1,>15 minutes,NA
99001,Vanuatu,urban,charismatic,3,2,15-30 minutes,rush_power,0,1,>15 minutes,NA
