ResponseId,spev_score,demo_part1_gender,demo_part2_religion,demo_part2_free,demo_religserv-PEW,demo_religimp-PEW,demo_part3_pray-PEW,demo_godcommunicate,demo_part3_tongues,demo_spiritfilled,demo_part3_giftshs,demo_part3_free,sleep_11,religion_cat,religion_denom,sleep_11_std,ISQ_raw,ISQ_std,pray_freq_PEW,pray_freq_PEW_num,group
R_022nuxEBZzdtAYx,0.7142857142857143,Man,Protestant,NA,More than once a week,Very important,Several times a day,Yes,No,Yes,Yes,NA,2,Protestant,Christian,1.3800771015453797,0.2,-1.335835465,Several times a day,7,All Christian
R_065FjtNAmGjxW4V,0.16666666666666666,Man,Nothing in particular,NA,Never,Somewhat important,Seldom,NA,NA,NA,NA,NA,0,Nothing in particular,Non-religious,-0.518668697,0,-1.511880603,Seldom,2,All Participants
R_068NgQVgg2viHbb,0.4375,Man,"Christian, no specific denomination",NA,Seldom,Somewhat important,Seldom,Yes,No,NA,Yes,NA,1,"Christian, no specific denomination",Christian,0.43070420230895456,1.4,-0.279564638,Seldom,2,All Christian
R_08r8s52KeNYV4FH,0.3181818181818182,Man,Catholic,I think I am a person of faith rather than religious.,Seldom,Somewhat important,A few times a month,Yes,No,No,Yes,NA,1,Catholic,Christian,0.43070420230895456,1,-0.631654914,A few times a month,3,All Christian
R_09emspNRLG0GfeN,0,Man,Agnostic,The question about a spirit sending you images was a result of psychedelics,Seldom,Not at all important,Seldom,NA,NA,NA,NA,I grew up Christian,2,Agnostic,Non-religious,1.3800771015453797,1.6,-0.1035195,Seldom,2,All Participants
R_0Dsh34SdJzJYzM5,0.090909091,Woman,Catholic,NA,More than once a week,Very important,Once a day,Yes,No,Yes,Yes,NA,0,Catholic,Christian,-0.518668697,0,-1.511880603,Once a day,6,All Christian
R_0Hrj1khRROGsufD,0.23809523809523808,Man,Buddhist,Tibetan Buddhist,A few times a year,Not too important,A few times a month,NA,NA,NA,NA,NA,0,Buddhist,Other World Religion,-0.518668697,2.6,0.7767061893278371,A few times a month,3,All Participants
R_0P2RoX5gKCTREqd,0.10000000000000002,Woman,Agnostic,NA,Never,Not at all important,A few times a month,NA,NA,NA,NA,NA,0,Agnostic,Non-religious,-0.518668697,3.8,1.8329770166340096,A few times a month,3,All Participants
R_0qCmASALYpnqB7X,0.13636363636363638,Woman,Catholic,NA,Once a week,Very important,A few times a week,Yes,No,Yes,Yes,NA,1,Catholic,Christian,0.43070420230895456,1.6,-0.1035195,A few times a week,5,All Christian
R_0qt1YlConq57lDz,0,Man,Nothing in particular,I grew up Christian but stopped going.,Never,Not at all important,Never,NA,NA,NA,NA,NA,1,Nothing in particular,Non-religious,0.43070420230895456,1,-0.631654914,Never,1,All Participants
R_0quHqTWSEwG9dVD,1.1176470588235294,Man,"Christian, no specific denomination","I would have chosen ex-vangelical for my religion, but didn't see that choice.",Once a week,Very important,Once a day,Yes,No,No,No,My church is a new one for me. It's an online gathering and quite informal.,1,"Christian, no specific denomination",Christian,0.43070420230895456,2.4,0.6006610514434747,Once a day,6,All Christian
R_0xFn1DKKK5URtOV,0.45454545454545453,Woman,Agnostic,NA,Once or twice a month,Very important,A few times a month,NA,NA,NA,NA,NA,1,Agnostic,Non-religious,0.43070420230895456,1.6,-0.1035195,A few times a month,3,All Participants
R_10C5C9qKgsIrKn5,0.3181818181818182,Woman,Catholic,I'm not really religious. I believe in god in the sense he created a place for our spirits to go after (heaven) but I don't believe in any spirituality on earth.,Seldom,Not too important,Seldom,No,No,No,Yes,NA,2,Catholic,Christian,1.3800771015453797,2.2,0.4246159135591128,Seldom,2,All Christian
R_10C6NV8FIH8Bx4e,0,Man,Agnostic,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,0,Agnostic,Non-religious,-0.518668697,1.8,0.072525638,Never,1,All Participants
R_10CcspRkSL2Kmrm,1.0454545454545454,Woman,"Some other kind of Christianity (Please describe below.),Spiritual but not religious,Nothing in particular",NA,A few times a year,Somewhat important,A few times a week,Yes,Yes,Yes,Yes,I grew up in the black church and black spirituality where every moment is apart of god so spirituality comes in so many different waves because of this,2,More than one religion/spirituality,More than one religion/spirituality,1.3800771015453797,1.4,-0.279564638,A few times a week,5,All Participants
R_10MGW2UpUwD2zlR,0.3333333333333333,Something else (Please feel free to say more below.),Jewish,NA,Seldom,Somewhat important,Seldom,NA,NA,NA,NA,NA,0,Jewish,Other World Religion,-0.518668697,2.8,0.952751327,Seldom,2,All Participants
R_10NUueZP9r68jrM,0,Woman,Agnostic,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,1,Agnostic,Non-religious,0.43070420230895456,0.8,-0.807700052,Never,1,All Participants
R_10Oat94RtjW75sE,0,Man,Atheist,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,1,Atheist,Non-religious,0.43070420230895456,0,-1.511880603,Never,1,All Participants
R_10OSo7waqOGD3cj,0.6363636363636364,Woman,Agnostic,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,2,Agnostic,Non-religious,1.3800771015453797,1.4,-0.279564638,Never,1,All Participants
R_10p9pd4pjVGfZL0,0.14285714285714288,Man,Agnostic,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,2,Agnostic,Non-religious,1.3800771015453797,0,-1.511880603,Never,1,All Participants
R_10SqIUbLw139O3n,0.5,Man,"Evangelical or ""born again""",no,Once or twice a month,Very important,Once a day,NA,No,Yes,Yes,NA,1,"Evangelical or ""born again""",Christian,0.43070420230895456,3.6,1.656931878749648,Once a day,6,Evangelical Christian
R_10xf6NRx1Z9lUep,0,Man,Agnostic,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,0,Agnostic,Non-religious,-0.518668697,3.8,1.8329770166340096,Never,1,All Participants
R_10ZcrkIxva0k3AE,0.23809523809523808,Man,Atheist,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,-1,Atheist,Non-religious,-1.468041596,3,1.1287964650965612,Never,1,All Participants
R_114rDM2IlVCBLiC,0.05,Man,Spiritual but not religious,NA,Never,Not at all important,Seldom,NA,NA,NA,NA,NA,2,Spiritual but not religious,New Age / Spiritual,1.3800771015453797,1.6,-0.1035195,Seldom,2,All Participants
R_115eKtGJGMtrdje,1.2380952380952381,Man,Protestant,NA,Once a week,Very important,Several times a day,Yes,Yes,Yes,Yes,NA,1,Protestant,Christian,0.43070420230895456,1.4,-0.279564638,Several times a day,7,All Christian
R_117rGURAHC1XmFV,0,Woman,"Agnostic,Nothing in particular",My mom and grandma are both very strict Catholics. I grew up Catholic but I never resonated with it. As soon as I was an adult I stopped going to church. I don't necessarily believe in a god as a person...it's more like the universe and karma. Be a good human.,Never,Not at all important,Seldom,NA,NA,NA,NA,"I don't necessarily pray to someone or something. It's more like just me putting it out into the universe, ""please let [insert whatever I'm desperate about] happen (or not happen)""",0,More than one non-religious identity,Non-religious,-0.518668697,2,0.24857077567475053,Seldom,2,All Participants
R_11azGjZAxUpWpoJ,0,Man,Atheist,NA,Never,Not at all important,Never,NA,NA,NA,NA,No,0,Atheist,Non-religious,-0.518668697,0.8,-0.807700052,Never,1,All Participants
R_11cHKoF6iV2gtuF,0.7272727272727273,Man,"Christian, no specific denomination",NA,Once or twice a month,Somewhat important,A few times a month,No,Yes,Yes,Yes,NA,2,"Christian, no specific denomination",Christian,1.3800771015453797,0,-1.511880603,A few times a month,3,All Christian
R_11Z3RrbEAYo1OW4,0,Woman,Atheist,NA,Never,Not too important,Seldom,NA,NA,NA,NA,NA,0,Atheist,Non-religious,-0.518668697,0.6,-0.98374519,Seldom,2,All Participants
R_122TGaTxUJyRBXy,0,Man,Atheist,NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,0,Atheist,Non-religious,-0.518668697,0.2,-1.335835465,Never,1,All Participants
R_124LpT2HjC3XHDA,0,Man,"Christian, no specific denomination",NA,Never,Not at all important,Never,No,No,No,No,NA,0,"Christian, no specific denomination",Christian,-0.518668697,0,-1.511880603,Never,1,All Christian
R_12522Z1rZnHrnUb,0,Woman,"Some other kind of Christianity (Please describe below.),Spiritual but not religious,Agnostic",NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,1,More than one religion/spirituality,More than one religion/spirituality,0.43070420230895456,1.2,-0.455609776,Never,1,All Participants
R_125StiKWg4Oyigg,0,Man,"Christian, no specific denomination",NA,More than once a week,Very important,Once a day,NA,No,NA,NA,NA,0,"Christian, no specific denomination",Christian,-0.518668697,NA,NA,Once a day,6,All Christian
R_129KqwJZH3yaa8N,0.045454545,Woman,"Agnostic,Atheist",NA,Never,Not at all important,Never,NA,NA,NA,NA,NA,2,More than one non-religious identity,Non-religious,1.3800771015453797,2,0.24857077567475053,Never,1,All Participants
R_129XlZq1ppEBs4S,0.7222222222222221,Man,"Evangelical or ""born again""",I don't really practice or follow Christianity anymore.,Seldom,Not too important,Seldom,NA,No,No,NA,NA,-1,"Evangelical or ""born again""",Christian,-1.468041596,1.6,-0.1035195,Seldom,2,Evangelical Christian
R_12a93jyFk8wRH1T,0.3636363636363636,Woman,Atheist,NA,Never,Not at all important,NA,NA,NA,NA,NA,NA,NA,Atheist,Non-religious,NA,3.4,1.4808867408652855,NA,NA,All Participants
R_12baCXhBAhitZot,1.5294117647058822,Woman,"Christian, no specific denomination",NA,A few times a year,Very important,A few times a week,Yes,No,Yes,Yes,NA,2,"Christian, no specific denomination",Christian,1.3800771015453797,1.2,-0.455609776,A few times a week,5,All Christian
R_12bxIqTI8KbdkjI,1.9090909090909092,Man,Catholic,NA,Seldom,Somewhat important,Seldom,Yes,Yes,Yes,Yes,NA,0,Catholic,Christian,-0.518668697,2.3333333333333335,0.5419793388153542,Seldom,2,All Christian
R_12bxSfac8L9SAIc,0,Man,Something else (Please describe below.),e all have the right to have our own level of faith but we should never try to force our beliefs on others,Seldom,Not too important,Seldom,NA,NA,NA,NA,NA,0,Something else (Please describe below.),Other,-0.518668697,2.8,0.952751327,Seldom,2,All Participants
R_12DQI3b8FymYqVm,0.5,Woman,Spiritual but not religious,NA,Seldom,Somewhat important,A few times a month,NA,NA,NA,NA,NA,1,Spiritual but not religious,New Age / Spiritual,0.43070420230895456,1.8,0.072525638,A few times a month,3,All Participants
