"Category","Mean R","Question","Item-wise R"
"relabeled",0.183175728632957,"thought_mind",0.270444779666837
"relabeled",0.183175728632957,"intense_emotion",0.256946011235934
"relabeled",0.183175728632957,"vision_mind",0.239209437329587
"relabeled",0.183175728632957,"sensation",0.202471640996021
"relabeled",0.183175728632957,"dreams",0.159124080476291
"relabeled",0.183175728632957,"body_experience",0.0825634484157903
"relabeled",0.183175728632957,"knowing",0.0714707023102364
"(other)",0.14748938505595,"slain_in_spirit",0.348252709241462
"(other)",0.14748938505595,"scripture",0.256522299825749
"(other)",0.14748938505595,"time_slow",0.229316275334963
"(other)",0.14748938505595,"rush_power",0.172888990856353
"(other)",0.14748938505595,"people",0.108031191169713
"(other)",0.14748938505595,"place_body",0.09070504501872
"(other)",0.14748938505595,"encounter_other",-0.0107696247164471
"(other)",0.14748938505595,"white_light",-0.0150318062829166
"presence",0.124326537382812,"presence_demon",0.274189400716596
"presence",0.124326537382812,"presence_god",0.0703805761628847
"presence",0.124326537382812,"presence_ghostangelspirit",0.028409635268956
"outer_sensory",0.0868123462193783,"vision_eyes",0.173652714336006
"outer_sensory",0.0868123462193783,"voice_ears",0.157427494169852
"outer_sensory",0.0868123462193783,"see_hear_other",0.0608514386303355
"outer_sensory",0.0868123462193783,"touch",0.0599263548246768
"outer_sensory",0.0868123462193783,"smell",-0.0177962708639789
"weird",0.00541411924815787,"out_of_body",0.090642036539103
"weird",0.00541411924815787,"possession_self",0.0198571523216423
"weird",0.00541411924815787,"shapeshifter",-0.0338895295280779
"weird",0.00541411924815787,"sleep_paralysis",-0.0549531823400359
